algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
montecarlo,2000,0.1,0.99,0.1,398,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,399,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,400,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,401,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,402,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,403,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,404,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,405,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,406,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,407,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,408,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,409,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,410,7.0000,10,1
montecarlo,2000,0.1,0.99,0.1,411,7.0000,10,1
montecarlo,2000,0.1,0.99,0.1,412,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,413,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,414,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,415,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,416,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,417,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,418,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,419,8.1000,9,1
montecarlo,2000,0.1,0.99,0.1,420,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,421,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,422,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,423,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,424,8.8000,12,1
montecarlo,2000,0.1,0.99,0.1,425,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,426,9.2000,8,1
montecarlo,2000,0.1,0.99,0.1,427,9.0000,10,1
montecarlo,2000,0.1,0.99,0.1,428,7.9000,11,1
montecarlo,2000,0.1,0.99,0.1,429,9.2000,8,1
